City,State,Time Offset (hrs from ET),Local Time
Allentown,PA,0,0:00
Abilene,TX,-1,23:00
Albuquerque,NM,-2,22:00
Aberdeen,SD,-1,23:00
Albany,GA,0,0:00
Nantucket,MA,0,0:00
Waco,TX,-1,23:00
Arcata/Eureka,CA,-3,21:00
Atlantic City,NJ,0,0:00
Adak,AK,-4,20:00
Kodiak,AK,-4,20:00
Alexandria,LA,-1,23:00
Augusta,GA,0,0:00
King Salmon,AK,-4,20:00
Albany,NY,0,0:00
Waterloo,IA,-1,23:00
Amarillo,TX,-1,23:00
Anchorage,AK,-4,20:00
Alpena,MI,0,0:00
Aspen,CO,-2,22:00
Atlanta,GA,0,0:00
Appleton,WI,-1,23:00
Austin,TX,-1,23:00
Asheville,NC,0,0:00
Wilkes-Barre/Scranton,PA,0,0:00
Kalamazoo,MI,0,0:00
Windsor Locks,CT,0,0:00
Bethel,AK,-4,20:00
Bakersfield,CA,-3,21:00
Binghamton,NY,0,0:00
Bangor,ME,0,0:00
Birmingham,AL,0,0:00
Billings,MT,-2,22:00
Bismarck,ND,-1,23:00
Bemidji,MN,-1,23:00
Bellingham,WA,-3,21:00
Bloomington,IL,-1,23:00
Nashville,TN,0,0:00
Boise,ID,0,0:00
Boston,MA,0,0:00
Beaumont/Port Arthur,TX,-1,23:00
Brunswick,GA,0,0:00
Aguadilla,PR,-1,23:00
Brainerd,MN,-1,23:00
Brownsville,TX,-1,23:00
Barrow,AK,-4,20:00
Butte,MT,-2,22:00
Baton Rouge,LA,-1,23:00
Burlington,VT,0,0:00
Buffalo,NY,0,0:00
Burbank,CA,-3,21:00
Baltimore,MD,0,0:00
Bozeman,MT,-2,22:00
Columbia,SC,0,0:00
Akron,OH,0,0:00
Cedar City,UT,-2,22:00
Cordova,AK,-4,20:00
Crescent City,CA,-3,21:00
Chattanooga,TN,0,0:00
Charlottesville,VA,0,0:00
Charleston,SC,0,0:00
Cedar Rapids,IA,-1,23:00
Sault Ste. Marie,MI,0,0:00
San Diego,CA,-3,21:00
Cleveland,OH,0,0:00
College Station,TX,-1,23:00
Charlotte,NC,0,0:00
Columbus,OH,0,0:00
Champaign/Urbana,IL,-1,23:00
Hancock,MI,0,0:00
Moab,UT,-2,22:00
Cody,WY,-2,22:00
Colorado Springs,CO,-2,22:00
Columbia,MO,-1,23:00
Casper,WY,-2,22:00
Corpus Christi,TX,-1,23:00
Charleston,WV,0,0:00
Columbus,GA,0,0:00
Covington,KY,0,0:00
Mosinee,WI,-1,23:00
Daytona Beach,FL,0,0:00
Dallas,TX,-1,23:00
Dayton,OH,0,0:00
Dubuque,IA,-1,23:00
