IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,,flag
ABE,Lehigh Valley International Airport,Allentown,PA,USA,40.65236,-75.4404,Allentown-PA,1
ABI,Abilene Regional Airport,Abilene,TX,USA,32.41132,-99.6819,Abilene-TX,1
ABQ,Albuquerque International Sunport,Albuquerque,NM,USA,35.04022,-106.60919,Albuquerque-NM,1
ABR,Aberdeen Regional Airport,Aberdeen,SD,USA,45.44906,-98.42183,Aberdeen-SD,1
ABY,Southwest Georgia Regional Airport,Albany,GA,USA,31.53552,-84.19447,Albany-GA,1
ACK,Nantucket Memorial Airport,Nantucket,MA,USA,41.25305,-70.06018,Nantucket-MA,1
ACT,Waco Regional Airport,Waco,TX,USA,31.61129,-97.23052,Waco-TX,1
ACV,Arcata Airport,Arcata/Eureka,CA,USA,40.97812,-124.10862,Arcata/Eureka-CA,1
ACY,Atlantic City International Airport,Atlantic City,NJ,USA,39.45758,-74.57717,Atlantic City-NJ,1
ADK,Adak Airport,Adak,AK,USA,51.87796,-176.64603,Adak-AK,1
ADQ,Kodiak Airport,Kodiak,AK,USA,57.74997,-152.49386,Kodiak-AK,1
AEX,Alexandria International Airport,Alexandria,LA,USA,31.32737,-92.54856,Alexandria-LA,1
AGS,Augusta Regional Airport (Bush Field),Augusta,GA,USA,33.36996,-81.9645,Augusta-GA,1
AKN,King Salmon Airport,King Salmon,AK,USA,58.6768,-156.64922,King Salmon-AK,1
ALB,Albany International Airport,Albany,NY,USA,42.74812,-73.80298,Albany-NY,1
ALO,Waterloo Regional Airport,Waterloo,IA,USA,42.55708,-92.40034,Waterloo-IA,1
AMA,Rick Husband Amarillo International Airport,Amarillo,TX,USA,35.21937,-101.70593,Amarillo-TX,1
ANC,Ted Stevens Anchorage International Airport,Anchorage,AK,USA,61.17432,-149.99619,Anchorage-AK,1
APN,Alpena County Regional Airport,Alpena,MI,USA,45.07807,-83.56029,Alpena-MI,1
ASE,Aspen-Pitkin County Airport,Aspen,CO,USA,39.22316,-106.86885,Aspen-CO,1
ATL,Hartsfield-Jackson Atlanta International Airport,Atlanta,GA,USA,33.64044,-84.42694,Atlanta-GA,1
ATW,Appleton International Airport,Appleton,WI,USA,44.25741,-88.51948,Appleton-WI,1
AUS,Austin-Bergstrom International Airport,Austin,TX,USA,30.19453,-97.66987,Austin-TX,1
AVL,Asheville Regional Airport,Asheville,NC,USA,35.43619,-82.54181,Asheville-NC,1
AVP,Wilkes-Barre/Scranton International Airport,Wilkes-Barre/Scranton,PA,USA,41.33815,-75.72427,Wilkes-Barre/Scranton-PA,1
AZO,Kalamazoo/Battle Creek International Airport,Kalamazoo,MI,USA,42.23488,-85.55206,Kalamazoo-MI,1
BDL,Bradley International Airport,Windsor Locks,CT,USA,41.93887,-72.68323,Windsor Locks-CT,1
BET,Bethel Airport,Bethel,AK,USA,60.77978,-161.838,Bethel-AK,1
BFL,Meadows Field,Bakersfield,CA,USA,35.4336,-119.05677,Bakersfield-CA,1
BGM,Greater Binghamton Airport,Binghamton,NY,USA,42.20848,-75.97961,Binghamton-NY,1
BGR,Bangor International Airport,Bangor,ME,USA,44.80744,-68.82814,Bangor-ME,1
BHM,Birmingham-Shuttlesworth International Airport,Birmingham,AL,USA,33.56294,-86.75355,Birmingham-AL,1
BIL,Billings Logan International Airport,Billings,MT,USA,45.80766,-108.54286,Billings-MT,1
BIS,Bismarck Municipal Airport,Bismarck,ND,USA,46.77411,-100.74672,Bismarck-ND,1
BJI,Bemidji Regional Airport,Bemidji,MN,USA,47.50942,-94.93372,Bemidji-MN,1
BLI,Bellingham International Airport,Bellingham,WA,USA,48.79275,-122.53753,Bellingham-WA,1
BMI,Central Illinois Regional Airport at Bloomington-Normal,Bloomington,IL,USA,40.47799,-88.91595,Bloomington-IL,1
BNA,Nashville International Airport,Nashville,TN,USA,36.12448,-86.67818,Nashville-TN,1
BOI,Boise Airport (Boise Air Terminal),Boise,ID,USA,43.56444,-116.22278,Boise-ID,1
BOS,Gen. Edward Lawrence Logan International Airport,Boston,MA,USA,42.36435,-71.00518,Boston-MA,1
BPT,Jack Brooks Regional Airport (Southeast Texas Regional),Beaumont/Port Arthur,TX,USA,29.95083,-94.02069,Beaumont/Port Arthur-TX,1
BQK,Brunswick Golden Isles Airport,Brunswick,GA,USA,31.25903,-81.46631,Brunswick-GA,1
BQN,Rafael Hernández Airport,Aguadilla,PR,USA,18.49486,-67.12944,Aguadilla-PR,1
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,USA,46.39786,-94.13723,Brainerd-MN,1
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,USA,25.90683,-97.42586,Brownsville-TX,1
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,USA,71.28545,-156.766,Barrow-AK,1
BTM,Bert Mooney Airport,Butte,MT,USA,45.9548,-112.49746,Butte-MT,1
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,USA,30.53316,-91.14963,Baton Rouge-LA,1
BTV,Burlington International Airport,Burlington,VT,USA,44.473,-73.15031,Burlington-VT,1
BUF,Buffalo Niagara International Airport,Buffalo,NY,USA,42.94052,-78.73217,Buffalo-NY,1
BUR,Bob Hope Airport (Hollywood Burbank Airport),Burbank,CA,USA,34.20062,-118.3585,Burbank-CA,1
BWI,Baltimore-Washington International Airport,Baltimore,MD,USA,39.1754,-76.6682,Baltimore-MD,1
BZN,Bozeman Yellowstone International Airport (Gallatin Field Airport),Bozeman,MT,USA,45.7769,-111.15301,Bozeman-MT,1
CAE,Columbia Metropolitan Airport,Columbia,SC,USA,33.93884,-81.11954,Columbia-SC,1
CAK,Akron-Canton Regional Airport,Akron,OH,USA,40.91631,-81.44247,Akron-OH,1
CDC,Cedar City Regional Airport,Cedar City,UT,USA,37.70097,-113.09858,Cedar City-UT,1
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,USA,60.49183,-145.47765,Cordova-AK,1
CEC,Del Norte County Airport (Jack McNamara Field),Crescent City,CA,USA,41.78016,-124.23653,Crescent City-CA,1
CHA,Chattanooga Metropolitan Airport (Lovell Field),Chattanooga,TN,USA,35.03527,-85.20379,Chattanooga-TN,1
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,USA,38.13864,-78.45286,Charlottesville-VA,1
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,USA,32.89865,-80.04051,Charleston-SC,1
